Teste,Esperado,n
asl037,0,10
asl017,0,9
asl016,0,8
asl146,0,8
asl147,0,8
asl019,0,7
asl057,0,7
asl058,0,7
asl083,0,7
asl086,0,7
asl092,0,7
asl118,0,6
asl073,0,5
asl091,0,5
asl003,0,4
asl009,0,4
asl010,0,4
asl012,0,4
asl014,0,4
asl015,0,4
asl018,0,4
asl031,0,4
asl033,0,4
asl048,0,4
asl050,0,4
asl052,0,4
asl053,0,4
asl074,0,4
asl126,0,4
asl127,0,4
asl131,0,4
asl027,0,3
asl028,0,3
asl059,0,3
asl061,0,3
asl063,0,3
asl069,0,3
asl079,0,3
asl087,0,3
asl093,0,3
asl129,0,3
asl130,0,3
asl148,0,3
asl149,0,3
asl150,0,3
asl151,0,3
asl152,0,3
asl153,0,3
asl154,0,3
asl155,0,3
asl156,0,3
asl157,0,3
asl158,0,3
asl159,0,3
asl160,0,3
asl106,0,2
asl113,1,2
asl001,0,1
asl025,1,1
asl044,0,1
asl055,0,1
asl077,0,1
asl088,0,1
asl099,0,1
asl108,0,1
