Grupo,Teste,Result,Esperado,Correto,Razao
GrupoA,asl003,1,0,FALSE,"[ERRO] Linha 4: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' "
GrupoA,asl012,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' "
GrupoA,asl014,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' "
GrupoA,asl015,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' "
GrupoA,asl016,1,0,FALSE,"[ERRO] Linha 4: syntax error, unexpected ',', expecting '}' "
GrupoA,asl017,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected ',', expecting '}' "
GrupoA,asl018,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' "
GrupoA,asl019,1,0,FALSE,"[ERRO] Linha 4: syntax error, unexpected ',', expecting '}' "
GrupoA,asl025,0,1,FALSE,NA
GrupoA,asl027,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' "
GrupoA,asl028,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' "
GrupoA,asl031,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected TK_PR_BOOL, expecting ',' "
GrupoA,asl033,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected TK_PR_INT, expecting ',' "
GrupoA,asl037,1,0,FALSE,"[ERRO] Linha 7: syntax error, unexpected ',', expecting '}' "
GrupoA,asl057,1,0,FALSE,"[ERRO] Linha 4: syntax error, unexpected ',', expecting '}' "
GrupoA,asl058,1,0,FALSE,"[ERRO] Linha 6: syntax error, unexpected ',', expecting '}' "
GrupoA,asl059,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected '}', expecting ',' "
GrupoA,asl061,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected '}', expecting ',' "
GrupoA,asl063,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected '}', expecting ',' "
GrupoA,asl069,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' "
GrupoA,asl074,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected TK_PR_INT, expecting ',' "
GrupoA,asl079,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected TK_PR_RETURN, expecting ',' "
GrupoA,asl083,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected TK_PR_IF, expecting ',' "
GrupoA,asl086,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected TK_PR_INT, expecting ',' "
GrupoA,asl087,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected TK_PR_INT, expecting ',' "
GrupoA,asl091,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' "
GrupoA,asl092,1,0,FALSE,"[ERRO] Linha 4: syntax error, unexpected ',', expecting '}' "
GrupoA,asl093,1,0,FALSE,"[ERRO] Linha 6: syntax error, unexpected '}', expecting ',' "
GrupoA,asl118,1,0,FALSE,"[ERRO] Linha 5: syntax error, unexpected TK_PR_IF, expecting ',' "
GrupoA,asl126,1,0,FALSE,"[ERRO] Linha 4: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' "
GrupoA,asl127,1,0,FALSE,"[ERRO] Linha 4: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' "
GrupoA,asl129,1,0,FALSE,"[ERRO] Linha 4: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' "
GrupoA,asl130,1,0,FALSE,"[ERRO] Linha 4: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' "
GrupoA,asl131,1,0,FALSE,"[ERRO] Linha 4: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' "
GrupoA,asl146,1,0,FALSE,"[ERRO] Linha 4: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' "
GrupoA,asl147,1,0,FALSE,"[ERRO] Linha 4: syntax error, unexpected TK_IDENTIFICADOR, expecting ',' "
GrupoB,asl127,1,0,FALSE," Erro de sintaxe detectado. Linha: 4 syntax error, unexpected invalid token "
GrupoB,asl147,1,0,FALSE," Erro de sintaxe detectado. Linha: 4 syntax error, unexpected invalid token "
GrupoC,asl146,1,0,FALSE,"syntax error, unexpected ' ' line: 4 1 "
GrupoC,asl147,1,0,FALSE,"syntax error, unexpected '!' line: 4 1 "
GrupoD,asl009,1,0,FALSE,"syntax error, unexpected '(' Syntax error at line 3. Token ( "
GrupoD,asl010,1,0,FALSE,"syntax error, unexpected '(' Syntax error at line 3. Token ( "
GrupoD,asl016,1,0,FALSE,"syntax error, unexpected '}' Syntax error at line 4. Token } "
GrupoD,asl017,1,0,FALSE,"syntax error, unexpected '}' Syntax error at line 5. Token } "
GrupoD,asl037,1,0,FALSE,"syntax error, unexpected '}' Syntax error at line 6. Token } "
GrupoD,asl048,1,0,FALSE,"syntax error, unexpected '}' Syntax error at line 4. Token } "
GrupoD,asl050,1,0,FALSE,"syntax error, unexpected '}' Syntax error at line 4. Token } "
GrupoD,asl052,1,0,FALSE,"syntax error, unexpected '}' Syntax error at line 4. Token } "
GrupoD,asl053,1,0,FALSE,"syntax error, unexpected '}' Syntax error at line 4. Token } "
GrupoD,asl057,1,0,FALSE,"syntax error, unexpected '}' Syntax error at line 4. Token } "
GrupoD,asl058,1,0,FALSE,"syntax error, unexpected '}' Syntax error at line 6. Token } "
GrupoD,asl073,1,0,FALSE,"syntax error, unexpected ')' Syntax error at line 4. Token ) "
GrupoD,asl083,1,0,FALSE,"syntax error, unexpected '}' Syntax error at line 5. Token } "
GrupoD,asl086,1,0,FALSE,"syntax error, unexpected '}' Syntax error at line 7. Token } "
GrupoD,asl091,1,0,FALSE,"syntax error, unexpected '+', expecting ')' Syntax error at line 5. Token + "
GrupoD,asl092,1,0,FALSE,"syntax error, unexpected '}' Syntax error at line 4. Token } "
